지표연도,시도,시군구,지표명,분모(명),분자(명),지표값(퍼센트)
2002,전국,전국,1차일반생애검진수검률,11937267,5133401,43
2003,전국,전국,1차일반생애검진수검률,11244088,5418509,48.19
2004,전국,전국,1차일반생애검진수검률,12879090,6592174,51.19
2005,전국,전국,1차일반생애검진수검률,12128744,6277122,51.75
2006,전국,전국,1차일반생애검진수검률,14491475,8117232,56.01
2007,전국,전국,1차일반생애검진수검률,13842619,8150916,58.88
2008,전국,전국,1차일반생애검진수검률,15929067,9969914,62.59
2009,전국,전국,1차일반생애검진수검률,15703144,10225624,65.12
2010,전국,전국,1차일반생애검진수검률,16103039,10893585,67.65
2011,전국,전국,1차일반생애검진수검률,15601821,11276409,72.28
2012,전국,전국,1차일반생애검진수검률,16175905,11618747,71.83
2013,전국,전국,1차일반생애검진수검률,16593659,11845459,71.39
2014,전국,전국,1차일반생애검진수검률,17315307,12824909,74.07
2015,전국,전국,1차일반생애검진수검률,18185657,13714673,75.41
2016,전국,전국,1차일반생애검진수검률,18503689,14250837,77.02
2017,전국,전국,1차일반생애검진수검률,18670547,14510210,77.72
2018,전국,전국,1차일반생애검진수검률,19614852,14850331,75.71
2019,전국,전국,1차일반생애검진수검률,21758730,15856327,72.87
2002,서울특별시,서울특별시,1차일반생애검진수검률,2854885,1139036,39.9
2002,부산광역시,부산광역시,1차일반생애검진수검률,906221,398173,43.94
2002,대구광역시,대구광역시,1차일반생애검진수검률,580632,248930,42.87
2002,인천광역시,인천광역시,1차일반생애검진수검률,606857,251215,41.4
2002,광주광역시,광주광역시,1차일반생애검진수검률,301068,141257,46.92
2002,대전광역시,대전광역시,1차일반생애검진수검률,320952,146108,45.52
2002,울산광역시,울산광역시,1차일반생애검진수검률,290129,159412,54.95
2002,경기도,경기도,1차일반생애검진수검률,2172360,855475,39.38
2002,강원도,강원도,1차일반생애검진수검률,384065,161429,42.03
2002,충청북도,충청북도,1차일반생애검진수검률,363751,172014,47.29
2002,충청남도,충청남도,1차일반생애검진수검률,498689,234588,47.04
2002,전라북도,전라북도,1차일반생애검진수검률,461455,196220,42.52
2002,전라남도,전라남도,1차일반생애검진수검률,539356,237594,44.05
2002,경상북도,경상북도,1차일반생애검진수검률,738140,369276,50.03
2002,경상남도,경상남도,1차일반생애검진수검률,789625,373098,47.25
2002,제주도,제주도,1차일반생애검진수검률,129082,49576,38.41
2003,서울특별시,서울특별시,1차일반생애검진수검률,2526871,1137040,45
2003,부산광역시,부산광역시,1차일반생애검진수검률,859306,423493,49.28
2003,대구광역시,대구광역시,1차일반생애검진수검률,547924,258760,47.23
2003,인천광역시,인천광역시,1차일반생애검진수검률,592160,277456,46.85
2003,광주광역시,광주광역시,1차일반생애검진수검률,292270,151987,52
2003,대전광역시,대전광역시,1차일반생애검진수검률,297959,148588,49.87
2003,울산광역시,울산광역시,1차일반생애검진수검률,277977,165863,59.67
2003,경기도,경기도,1차일반생애검진수검률,2170549,1001377,46.13
2003,강원도,강원도,1차일반생애검진수검률,352530,161014,45.67
2003,충청북도,충청북도,1차일반생애검진수검률,344960,178075,51.62
2003,충청남도,충청남도,1차일반생애검진수검률,471267,240389,51.01
2003,전라북도,전라북도,1차일반생애검진수검률,431670,202805,46.98
2003,전라남도,전라남도,1차일반생애검진수검률,509562,253593,49.77
2003,경상북도,경상북도,1차일반생애검진수검률,699573,381745,54.57
2003,경상남도,경상남도,1차일반생애검진수검률,745245,385396,51.71
2003,제주도,제주도,1차일반생애검진수검률,124265,50928,40.98
2004,서울특별시,서울특별시,1차일반생애검진수검률,2687508,1243200,46.26
2004,부산광역시,부산광역시,1차일반생애검진수검률,989276,520559,52.62
2004,대구광역시,대구광역시,1차일반생애검진수검률,659391,346707,52.58
2004,인천광역시,인천광역시,1차일반생애검진수검률,674274,341556,50.66
2004,광주광역시,광주광역시,1차일반생애검진수검률,347857,184882,53.15
2004,대전광역시,대전광역시,1차일반생애검진수검률,378333,213744,56.5
2004,울산광역시,울산광역시,1차일반생애검진수검률,312229,192764,61.74
2004,경기도,경기도,1차일반생애검진수검률,2650457,1338971,50.52
2004,강원도,강원도,1차일반생애검진수검률,412764,205169,49.71
2004,충청북도,충청북도,1차일반생애검진수검률,405008,222209,54.87
2004,충청남도,충청남도,1차일반생애검진수검률,534088,277862,52.03
2004,전라북도,전라북도,1차일반생애검진수검률,510264,262985,51.54
2004,전라남도,전라남도,1차일반생애검진수검률,546951,288181,52.69
2004,경상북도,경상북도,1차일반생애검진수검률,770651,428573,55.61
2004,경상남도,경상남도,1차일반생애검진수검률,855724,455228,53.2
2004,제주도,제주도,1차일반생애검진수검률,144315,69584,48.22
2005,서울특별시,서울특별시,1차일반생애검진수검률,2504749,1143189,45.64
2005,부산광역시,부산광역시,1차일반생애검진수검률,927727,504253,54.35
2005,대구광역시,대구광역시,1차일반생애검진수검률,616135,313368,50.86
2005,인천광역시,인천광역시,1차일반생애검진수검률,636197,330331,51.92
2005,광주광역시,광주광역시,1차일반생애검진수검률,325418,171311,52.64
2005,대전광역시,대전광역시,1차일반생애검진수검률,342982,195314,56.95
2005,울산광역시,울산광역시,1차일반생애검진수검률,302366,189638,62.72
2005,경기도,경기도,1차일반생애검진수검률,2550003,1306703,51.24
2005,강원도,강원도,1차일반생애검진수검률,377916,188057,49.76
2005,충청북도,충청북도,1차일반생애검진수검률,383033,215387,56.23
2005,충청남도,충청남도,1차일반생애검진수검률,519496,282399,54.36
2005,전라북도,전라북도,1차일반생애검진수검률,464817,240952,51.84
2005,전라남도,전라남도,1차일반생애검진수검률,506053,272505,53.85
2005,경상북도,경상북도,1차일반생애검진수검률,727690,414123,56.91
2005,경상남도,경상남도,1차일반생애검진수검률,802557,446362,55.62
2005,제주도,제주도,1차일반생애검진수검률,141605,63230,44.65
2006,서울특별시,서울특별시,1차일반생애검진수검률,2975934,1475780,49.59
2006,부산광역시,부산광역시,1차일반생애검진수검률,1085832,625570,57.61
2006,대구광역시,대구광역시,1차일반생애검진수검률,735589,421431,57.29
2006,인천광역시,인천광역시,1차일반생애검진수검률,762247,422440,55.42
2006,광주광역시,광주광역시,1차일반생애검진수검률,390410,221327,56.69
2006,대전광역시,대전광역시,1차일반생애검진수검률,426430,258799,60.69
2006,울산광역시,울산광역시,1차일반생애검진수검률,349602,226594,64.81
2006,경기도,경기도,1차일반생애검진수검률,3096406,1688962,54.55
2006,강원도,강원도,1차일반생애검진수검률,457459,260909,57.03
2006,충청북도,충청북도,1차일반생애검진수검률,466289,293805,63.01
2006,충청남도,충청남도,1차일반생애검진수검률,620828,367736,59.23
2006,전라북도,전라북도,1차일반생애검진수검률,556984,321093,57.65
2006,전라남도,전라남도,1차일반생애검진수검률,592270,347162,58.62
2006,경상북도,경상북도,1차일반생애검진수검률,853260,528127,61.9
2006,경상남도,경상남도,1차일반생애검진수검률,960827,570420,59.37
2006,제주도,제주도,1차일반생애검진수검률,161108,87077,54.05
2007,서울특별시,서울특별시,1차일반생애검진수검률,2812400,1515104,53.87
2007,부산광역시,부산광역시,1차일반생애검진수검률,1041595,640117,61.46
2007,대구광역시,대구광역시,1차일반생애검진수검률,699010,422050,60.38
2007,인천광역시,인천광역시,1차일반생애검진수검률,741502,427793,57.69
2007,광주광역시,광주광역시,1차일반생애검진수검률,368383,220020,59.73
2007,대전광역시,대전광역시,1차일반생애검진수검률,389968,237163,60.82
2007,울산광역시,울산광역시,1차일반생애검진수검률,344287,232543,67.54
2007,경기도,경기도,1차일반생애검진수검률,3014894,1744765,57.87
2007,강원도,강원도,1차일반생애검진수검률,421714,252344,59.84
2007,충청북도,충청북도,1차일반생애검진수검률,440741,274738,62.34
2007,충청남도,충청남도,1차일반생애검진수검률,596085,365338,61.29
2007,전라북도,전라북도,1차일반생애검진수검률,515294,301760,58.56
2007,전라남도,전라남도,1차일반생애검진수검률,557278,334601,60.04
2007,경상북도,경상북도,1차일반생애검진수검률,820460,524786,63.96
2007,경상남도,경상남도,1차일반생애검진수검률,925275,570186,61.62
2007,제주특별자치도,제주특별자치도,1차일반생애검진수검률,153733,87608,56.99
2008,서울특별시,서울특별시,1차일반생애검진수검률,3251542,1873975,57.63
2008,부산광역시,부산광역시,1차일반생애검진수검률,1192722,791390,66.35
2008,대구광역시,대구광역시,1차일반생애검진수검률,797538,518483,65.01
2008,인천광역시,인천광역시,1차일반생애검진수검률,854539,516663,60.46
2008,광주광역시,광주광역시,1차일반생애검진수검률,432781,275398,63.63
2008,대전광역시,대전광역시,1차일반생애검진수검률,467843,308687,65.98
2008,울산광역시,울산광역시,1차일반생애검진수검률,384837,269161,69.94
2008,경기도,경기도,1차일반생애검진수검률,3486014,2121201,60.85
2008,강원도,강원도,1차일반생애검진수검률,491135,317921,64.73
2008,충청북도,충청북도,1차일반생애검진수검률,507546,336924,66.38
2008,충청남도,충청남도,1차일반생애검진수검률,680380,437826,64.35
2008,전라북도,전라북도,1차일반생애검진수검률,602073,391572,65.04
2008,전라남도,전라남도,1차일반생애검진수검률,630013,401737,63.77
2008,경상북도,경상북도,1차일반생애검진수검률,911477,608443,66.75
2008,경상남도,경상남도,1차일반생애검진수검률,1064005,694732,65.29
2008,제주특별자치도,제주특별자치도,1차일반생애검진수검률,174622,105801,60.59
2009,서울특별시,서울특별시,1차일반생애검진수검률,3192732,1942494,60.84
2009,부산광역시,부산광역시,1차일반생애검진수검률,1167505,800223,68.54
2009,대구광역시,대구광역시,1차일반생애검진수검률,774184,504668,65.19
2009,인천광역시,인천광역시,1차일반생애검진수검률,853057,542611,63.61
2009,광주광역시,광주광역시,1차일반생애검진수검률,419894,281170,66.96
2009,대전광역시,대전광역시,1차일반생애검진수검률,441688,295552,66.91
2009,울산광역시,울산광역시,1차일반생애검진수검률,383801,277799,72.38
2009,경기도,경기도,1차일반생애검진수검률,3523207,2262004,64.2
2009,강원도,강원도,1차일반생애검진수검률,466698,307198,65.82
2009,충청북도,충청북도,1차일반생애검진수검률,499411,343492,68.78
2009,충청남도,충청남도,1차일반생애검진수검률,661926,431226,65.15
2009,전라북도,전라북도,1차일반생애검진수검률,577813,389002,67.32
2009,전라남도,전라남도,1차일반생애검진수검률,617956,417942,67.63
2009,경상북도,경상북도,1차일반생애검진수검률,898805,612329,68.13
2009,경상남도,경상남도,1차일반생애검진수검률,1054823,716912,67.97
2009,제주특별자치도,제주특별자치도,1차일반생애검진수검률,169644,101002,59.54
2010,서울특별시,서울특별시,1차일반생애검진수검률,3249270,2057587,63.32
2010,부산광역시,부산광역시,1차일반생애검진수검률,1192241,841616,70.59
2010,대구광역시,대구광역시,1차일반생애검진수검률,797598,543208,68.11
2010,인천광역시,인천광역시,1차일반생애검진수검률,879146,586092,66.67
2010,광주광역시,광주광역시,1차일반생애검진수검률,435998,306594,70.32
2010,대전광역시,대전광역시,1차일반생애검진수검률,470198,336227,71.51
2010,울산광역시,울산광역시,1차일반생애검진수검률,397317,295896,74.47
2010,경기도,경기도,1차일반생애검진수검률,3647780,2441016,66.92
2010,강원도,강원도,1차일반생애검진수검률,465483,311048,66.82
2010,충청북도,충청북도,1차일반생애검진수검률,513728,368699,71.77
2010,충청남도,충청남도,1차일반생애검진수검률,683628,463258,67.76
2010,전라북도,전라북도,1차일반생애검진수검률,592169,420817,71.06
2010,전라남도,전라남도,1차일반생애검진수검률,622071,432101,69.46
2010,경상북도,경상북도,1차일반생애검진수검률,911905,639465,70.12
2010,경상남도,경상남도,1차일반생애검진수검률,1076556,744593,69.16
2010,제주특별자치도,제주특별자치도,1차일반생애검진수검률,167951,105368,62.74
2011,서울특별시,서울특별시,1차일반생애검진수검률,3126373,2149921,68.77
2011,부산광역시,부산광역시,1차일반생애검진수검률,1142927,850084,74.38
2011,대구광역시,대구광역시,1차일반생애검진수검률,765107,557278,72.84
2011,인천광역시,인천광역시,1차일반생애검진수검률,855533,625378,73.1
2011,광주광역시,광주광역시,1차일반생애검진수검률,420329,317343,75.5
2011,대전광역시,대전광역시,1차일반생애검진수검률,444991,335299,75.35
2011,울산광역시,울산광역시,1차일반생애검진수검률,383338,297599,77.63
2011,경기도,경기도,1차일반생애검진수검률,3599555,2589044,71.93
2011,강원도,강원도,1차일반생애검진수검률,446990,318166,71.18
2011,충청북도,충청북도,1차일반생애검진수검률,500091,377404,75.47
2011,충청남도,충청남도,1차일반생애검진수검률,669020,484722,72.45
2011,전라북도,전라북도,1차일반생애검진수검률,562863,419500,74.53
2011,전라남도,전라남도,1차일반생애검진수검률,590866,431496,73.03
2011,경상북도,경상북도,1차일반생애검진수검률,882512,652226,73.91
2011,경상남도,경상남도,1차일반생애검진수검률,1048912,764137,72.85
2011,제주특별자치도,제주특별자치도,1차일반생애검진수검률,162414,106812,65.77
2012,서울특별시,서울특별시,1차일반생애검진수검률,3151326,2166962,68.76
2012,부산광역시,부산광역시,1차일반생애검진수검률,1183027,866391,73.24
2012,대구광역시,대구광역시,1차일반생애검진수검률,804575,583060,72.47
2012,인천광역시,인천광역시,1차일반생애검진수검률,890765,647402,72.68
2012,광주광역시,광주광역시,1차일반생애검진수검률,447849,332030,74.14
2012,대전광역시,대전광역시,1차일반생애검진수검률,475771,361205,75.92
2012,울산광역시,울산광역시,1차일반생애검진수검률,405374,313137,77.25
2012,경기도,경기도,1차일반생애검진수검률,3712586,2640574,71.12
2012,강원도,강원도,1차일반생애검진수검률,468121,332980,71.13
2012,충청북도,충청북도,1차일반생애검진수검률,525456,396071,75.38
2012,충청남도,충청남도,1차일반생애검진수검률,698784,503404,72.04
2012,전라북도,전라북도,1차일반생애검진수검률,601591,440444,73.21
2012,전라남도,전라남도,1차일반생애검진수검률,621011,451455,72.7
2012,경상북도,경상북도,1차일반생애검진수검률,923138,677164,73.35
2012,경상남도,경상남도,1차일반생애검진수검률,1095945,791974,72.26
2012,제주특별자치도,제주특별자치도,1차일반생애검진수검률,170586,114494,67.12
2013,서울특별시,서울특별시,1차일반생애검진수검률,3221901,2197110,68.19
2013,부산광역시,부산광역시,1차일반생애검진수검률,1201327,872737,72.65
2013,대구광역시,대구광역시,1차일반생애검진수검률,816430,582566,71.36
