지표연도,시도,시군구,지표명,분모(명),분자(명),지표값(퍼센트)
2002,전국,전국,고혈압의료이용률,34540978,2688608,7.78
2003,전국,전국,고혈압의료이용률,35265864,3364054,9.54
2004,전국,전국,고혈압의료이용률,35907983,3852683,10.73
2005,전국,전국,고혈압의료이용률,36342696,4674150,12.86
2006,전국,전국,고혈압의료이용률,36746505,5206717,14.17
2007,전국,전국,고혈압의료이용률,37244444,5615578,15.08
2008,전국,전국,고혈압의료이용률,37619878,6001511,15.95
2009,전국,전국,고혈압의료이용률,38072328,6410846,16.84
2010,전국,전국,고혈압의료이용률,37874639,6627561,17.5
2011,전국,전국,고혈압의료이용률,38400966,6874934,17.9
2012,전국,전국,고혈압의료이용률,38940716,7239481,18.59
2013,전국,전국,고혈압의료이용률,39423832,7507039,19.04
2014,전국,전국,고혈압의료이용률,40356958,7788900,19.3
2015,전국,전국,고혈압의료이용률,40912439,8020409,19.6
2016,전국,전국,고혈압의료이용률,41438003,8378080,20.22
2017,전국,전국,고혈압의료이용률,41907514,8722475,20.81
2018,전국,전국,고혈압의료이용률,42328632,9138149,21.59
2019,전국,전국,고혈압의료이용률,42856956,9583243,22.36
2002,서울특별시,서울특별시,고혈압의료이용률,8490036,658058,7.75
2002,부산광역시,부산광역시,고혈압의료이용률,2687131,202391,7.53
2002,대구광역시,대구광역시,고혈압의료이용률,1743227,124226,7.13
2002,인천광역시,인천광역시,고혈압의료이용률,1748292,137766,7.88
2002,광주광역시,광주광역시,고혈압의료이용률,887539,64528,7.27
2002,대전광역시,대전광역시,고혈압의료이용률,921648,73441,7.97
2002,울산광역시,울산광역시,고혈압의료이용률,718176,47320,6.59
2002,경기도,경기도,고혈압의료이용률,6201516,482403,7.78
2002,강원도,강원도,고혈압의료이용률,1093589,93564,8.56
2002,충청북도,충청북도,고혈압의료이용률,1037957,87497,8.43
2002,충청남도,충청남도,고혈압의료이용률,1397141,127241,9.11
2002,전라북도,전라북도,고혈압의료이용률,1379261,124670,9.04
2002,전라남도,전라남도,고혈압의료이용률,1559388,132348,8.49
2002,경상북도,경상북도,고혈압의료이용률,2074804,152534,7.35
2002,경상남도,경상남도,고혈압의료이용률,2217543,156650,7.06
2002,제주도,제주도,고혈압의료이용률,383730,23971,6.25
2003,서울특별시,서울특별시,고혈압의료이용률,8255924,791605,9.59
2003,부산광역시,부산광역시,고혈압의료이용률,2731572,252757,9.25
2003,대구광역시,대구광역시,고혈압의료이용률,1785849,154011,8.62
2003,인천광역시,인천광역시,고혈압의료이용률,1820094,168621,9.26
2003,광주광역시,광주광역시,고혈압의료이용률,922525,78782,8.54
2003,대전광역시,대전광역시,고혈압의료이용률,958254,91881,9.59
2003,울산광역시,울산광역시,고혈압의료이용률,743470,58888,7.92
2003,경기도,경기도,고혈압의료이용률,6774924,640311,9.45
2003,강원도,강원도,고혈압의료이용률,1108451,121922,11
2003,충청북도,충청북도,고혈압의료이용률,1053909,110027,10.44
2003,충청남도,충청남도,고혈압의료이용률,1402160,156032,11.13
2003,전라북도,전라북도,고혈압의료이용률,1390573,152095,10.94
2003,전라남도,전라남도,고혈압의료이용률,1556310,161239,10.36
2003,경상북도,경상북도,고혈압의료이용률,2090997,196673,9.41
2003,경상남도,경상남도,고혈압의료이용률,2276876,196432,8.63
2003,제주도,제주도,고혈압의료이용률,393976,32778,8.32
2004,서울특별시,서울특별시,고혈압의료이용률,7847553,839468,10.7
2004,부산광역시,부산광역시,고혈압의료이용률,2825949,302951,10.72
2004,대구광역시,대구광역시,고혈압의료이용률,1871278,180174,9.63
2004,인천광역시,인천광역시,고혈압의료이용률,1871023,193259,10.33
2004,광주광역시,광주광역시,고혈압의료이용률,991305,93634,9.45
2004,대전광역시,대전광역시,고혈압의료이용률,1030618,106897,10.37
2004,울산광역시,울산광역시,고혈압의료이용률,762037,65872,8.64
2004,경기도,경기도,고혈압의료이용률,7343214,767243,10.45
2004,강원도,강원도,고혈압의료이용률,1116077,139519,12.5
2004,충청북도,충청북도,고혈압의료이용률,1098335,127687,11.63
2004,충청남도,충청남도,고혈압의료이용률,1426971,182015,12.76
2004,전라북도,전라북도,고혈압의료이용률,1448553,182265,12.58
2004,전라남도,전라남도,고혈압의료이용률,1519028,185225,12.19
2004,경상북도,경상북도,고혈압의료이용률,2062242,221557,10.74
2004,경상남도,경상남도,고혈압의료이용률,2293189,225789,9.85
2004,제주도,제주도,고혈압의료이용률,400611,39128,9.77
2005,서울특별시,서울특별시,고혈압의료이용률,7903612,978372,12.38
2005,부산광역시,부산광역시,고혈압의료이용률,2829654,362659,12.82
2005,대구광역시,대구광역시,고혈압의료이용률,1879442,214584,11.42
2005,인천광역시,인천광역시,고혈압의료이용률,1895704,232180,12.25
2005,광주광역시,광주광역시,고혈압의료이용률,1000673,112513,11.24
2005,대전광역시,대전광역시,고혈압의료이용률,1045977,125892,12.04
2005,울산광역시,울산광역시,고혈압의료이용률,776590,79572,10.25
2005,경기도,경기도,고혈압의료이용률,7606656,930920,12.24
2005,강원도,강원도,고혈압의료이용률,1118067,177780,15.9
2005,충청북도,충청북도,고혈압의료이용률,1106020,158186,14.3
2005,충청남도,충청남도,고혈압의료이용률,1469106,231501,15.76
2005,전라북도,전라북도,고혈압의료이용률,1429768,223177,15.61
2005,전라남도,전라남도,고혈압의료이용률,1505356,235192,15.62
2005,경상북도,경상북도,고혈압의료이용률,2059131,277508,13.48
2005,경상남도,경상남도,고혈압의료이용률,2311968,283143,12.25
2005,제주도,제주도,고혈압의료이용률,404972,50971,12.59
2006,서울특별시,서울특별시,고혈압의료이용률,7959797,1069838,13.44
2006,부산광역시,부산광역시,고혈압의료이용률,2829511,402680,14.23
2006,대구광역시,대구광역시,고혈압의료이용률,1880523,236959,12.6
2006,인천광역시,인천광역시,고혈압의료이용률,1931175,260745,13.5
2006,광주광역시,광주광역시,고혈압의료이용률,1007097,125369,12.45
2006,대전광역시,대전광역시,고혈압의료이용률,1062324,139114,13.1
2006,울산광역시,울산광역시,고혈압의료이용률,788996,89436,11.34
2006,경기도,경기도,고혈압의료이용률,7831823,1043233,13.32
2006,강원도,강원도,고혈압의료이용률,1117601,201394,18.02
2006,충청북도,충청북도,고혈압의료이용률,1113489,175961,15.8
2006,충청남도,충청남도,고혈압의료이용률,1485884,257462,17.33
2006,전라북도,전라북도,고혈압의료이용률,1421484,245211,17.25
2006,전라남도,전라남도,고혈압의료이용률,1500491,264967,17.66
2006,경상북도,경상북도,고혈압의료이용률,2068529,315925,15.27
2006,경상남도,경상남도,고혈압의료이용률,2339298,320778,13.71
2006,제주도,제주도,고혈압의료이용률,408483,57645,14.11
2007,서울특별시,서울특별시,고혈압의료이용률,8033696,1153171,14.35
2007,부산광역시,부산광역시,고혈압의료이용률,2834187,432235,15.25
2007,대구광역시,대구광역시,고혈압의료이용률,1881618,254226,13.51
2007,인천광역시,인천광역시,고혈압의료이용률,1975569,282289,14.29
2007,광주광역시,광주광역시,고혈압의료이용률,1018452,134738,13.23
2007,대전광역시,대전광역시,고혈압의료이용률,1078056,150313,13.94
2007,울산광역시,울산광역시,고혈압의료이용률,803181,98461,12.26
2007,경기도,경기도,고혈압의료이용률,8069607,1139312,14.12
2007,강원도,강원도,고혈압의료이용률,1121643,216387,19.29
2007,충청북도,충청북도,고혈압의료이용률,1127598,188282,16.7
2007,충청남도,충청남도,고혈압의료이용률,1507483,275747,18.29
2007,전라북도,전라북도,고혈압의료이용률,1419619,258712,18.22
2007,전라남도,전라남도,고혈압의료이용률,1496990,281708,18.82
2007,경상북도,경상북도,고혈압의료이용률,2090522,339872,16.26
2007,경상남도,경상남도,고혈압의료이용률,2373489,347453,14.64
2007,제주특별자치도,제주특별자치도,고혈압의료이용률,412734,62672,15.18
2008,서울특별시,서울특별시,고혈압의료이용률,8079734,1228866,15.21
2008,부산광역시,부산광역시,고혈압의료이용률,2830975,456343,16.12
2008,대구광역시,대구광역시,고혈압의료이용률,1884340,270540,14.36
2008,인천광역시,인천광역시,고혈압의료이용률,2019451,307591,15.23
2008,광주광역시,광주광역시,고혈압의료이용률,1026828,142980,13.92
2008,대전광역시,대전광역시,고혈압의료이용률,1088181,160813,14.78
2008,울산광역시,울산광역시,고혈압의료이용률,814494,106396,13.06
2008,경기도,경기도,고혈압의료이용률,8262028,1236733,14.97
2008,강원도,강원도,고혈압의료이용률,1123912,229737,20.44
2008,충청북도,충청북도,고혈압의료이용률,1142791,201588,17.64
2008,충청남도,충청남도,고혈압의료이용률,1528922,294215,19.24
2008,전라북도,전라북도,고혈압의료이용률,1420081,272142,19.16
2008,전라남도,전라남도,고혈압의료이용률,1491711,295539,19.81
2008,경상북도,경상북도,고혈압의료이용률,2088671,360339,17.25
2008,경상남도,경상남도,고혈압의료이용률,2405040,370907,15.42
2008,제주특별자치도,제주특별자치도,고혈압의료이용률,412719,66782,16.18
2009,서울특별시,서울특별시,고혈압의료이용률,8127403,1304501,16.05
2009,부산광역시,부산광역시,고혈압의료이용률,2831384,483664,17.08
2009,대구광역시,대구광역시,고혈압의료이용률,1897185,289669,15.27
2009,인천광역시,인천광역시,고혈압의료이용률,2054556,333449,16.23
2009,광주광역시,광주광역시,고혈압의료이용률,1039251,152080,14.63
2009,대전광역시,대전광역시,고혈압의료이용률,1097094,171062,15.59
2009,울산광역시,울산광역시,고혈압의료이용률,830611,113929,13.72
2009,경기도,경기도,고혈압의료이용률,8471173,1339613,15.81
2009,강원도,강원도,고혈압의료이용률,1133493,244764,21.59
2009,충청북도,충청북도,고혈압의료이용률,1158871,215018,18.55
2009,충청남도,충청남도,고혈압의료이용률,1555248,313245,20.14
2009,전라북도,전라북도,고혈압의료이용률,1423438,285875,20.08
2009,전라남도,전라남도,고혈압의료이용률,1492562,310234,20.79
2009,경상북도,경상북도,고혈압의료이용률,2098076,385023,18.35
2009,경상남도,경상남도,고혈압의료이용률,2445338,396965,16.23
2009,제주특별자치도,제주특별자치도,고혈압의료이용률,416645,71755,17.22
2010,서울특별시,서울특별시,고혈압의료이용률,8090447,1347440,16.65
2010,부산광역시,부산광역시,고혈압의료이용률,2806998,502206,17.89
2010,대구광역시,대구광역시,고혈압의료이용률,1884116,302207,16.04
2010,인천광역시,인천광역시,고혈압의료이용률,2068761,351611,17
2010,광주광역시,광주광역시,고혈압의료이용률,1036028,156442,15.1
2010,대전광역시,대전광역시,고혈압의료이용률,1088174,175399,16.12
2010,울산광역시,울산광역시,고혈압의료이용률,837194,121446,14.51
2010,경기도,경기도,고혈압의료이용률,8562210,1405311,16.41
2010,강원도,강원도,고혈압의료이용률,1087949,245215,22.54
2010,충청북도,충청북도,고혈압의료이용률,1143179,219813,19.23
2010,충청남도,충청남도,고혈압의료이용률,1534258,318681,20.77
2010,전라북도,전라북도,고혈압의료이용률,1386553,288418,20.8
2010,전라남도,전라남도,고혈압의료이용률,1453470,314880,21.66
2010,경상북도,경상북도,고혈압의료이용률,2061077,395985,19.21
2010,경상남도,경상남도,고혈압의료이용률,2436879,411582,16.89
2010,제주특별자치도,제주특별자치도,고혈압의료이용률,397346,70925,17.85
2011,서울특별시,서울특별시,고혈압의료이용률,8108747,1376761,16.98
2011,부산광역시,부산광역시,고혈압의료이용률,2819464,519264,18.42
2011,대구광역시,대구광역시,고혈압의료이용률,1900631,313935,16.52
2011,인천광역시,인천광역시,고혈압의료이용률,2104822,365472,17.36
2011,광주광역시,광주광역시,고혈압의료이용률,1053395,161881,15.37
2011,대전광역시,대전광역시,고혈압의료이용률,1103827,182077,16.5
2011,울산광역시,울산광역시,고혈압의료이용률,849527,127695,15.03
2011,경기도,경기도,고혈압의료이용률,8822804,1474224,16.71
2011,강원도,강원도,고혈압의료이용률,1095788,254691,23.24
2011,충청북도,충청북도,고혈압의료이용률,1163672,229063,19.68
2011,충청남도,충청남도,고혈압의료이용률,1566266,330619,21.11
2011,전라북도,전라북도,고혈압의료이용률,1395223,299624,21.47
2011,전라남도,전라남도,고혈압의료이용률,1457995,324003,22.22
2011,경상북도,경상북도,고혈압의료이용률,2079514,410847,19.76
2011,경상남도,경상남도,고혈압의료이용률,2475675,430318,17.38
2011,제주특별자치도,제주특별자치도,고혈압의료이용률,403616,74460,18.45
2012,서울특별시,서울특별시,고혈압의료이용률,8133340,1436977,17.67
2012,부산광역시,부산광역시,고혈압의료이용률,2830495,536878,18.97
2012,대구광역시,대구광역시,고혈압의료이용률,1916025,334927,17.48
2012,인천광역시,인천광역시,고혈압의료이용률,2159335,390919,18.1
2012,광주광역시,광주광역시,고혈압의료이용률,1072113,170430,15.9
2012,대전광역시,대전광역시,고혈압의료이용률,1123337,193546,17.23
2012,울산광역시,울산광역시,고혈압의료이용률,867280,134707,15.53
2012,경기도,경기도,고혈압의료이용률,9031067,1570708,17.39
2012,강원도,강원도,고혈압의료이용률,1112711,268590,24.14
2012,충청북도,충청북도,고혈압의료이용률,1183568,241642,20.42
2012,충청남도,충청남도,고혈압의료이용률,1599239,348445,21.79
2012,전라북도,전라북도,고혈압의료이용률,1412600,313801,22.21
2012,전라남도,전라남도,고혈압의료이용률,1466304,336504,22.95
2012,경상북도,경상북도,고혈압의료이용률,2105246,432399,20.54
2012,경상남도,경상남도,고혈압의료이용률,2515980,450953,17.92
2012,제주특별자치도,제주특별자치도,고혈압의료이용률,412076,78055,18.94
2013,서울특별시,서울특별시,고혈압의료이용률,8160294,1470751,18.02
2013,부산광역시,부산광역시,고혈압의료이용률,2838441,551980,19.45
