지표연도,시도,시군구,비표준화 항생제 사용량,표준화 항생제 사용량
2008,전국,전국,26.11,26.91
2009,전국,전국,26.87,27.54
2010,전국,전국,27.74,28.32
2011,전국,전국,27.15,27.59
2012,전국,전국,27.73,28.07
2013,전국,전국,27.74,27.87
2014,전국,전국,28.81,28.83
2015,전국,전국,28.85,28.76
2016,전국,전국,30.11,29.94
2017,전국,전국,29.57,29.33
2018,전국,전국,30.14,29.97
2019,전국,전국,30.57,30.53
2008,서울특별시,전체,24.6,25.68
2008,부산광역시,전체,25.59,26.57
2008,대구광역시,전체,25.69,26.8
2008,인천광역시,전체,25.6,27.01
2008,광주광역시,전체,28.41,29.55
2008,대전광역시,전체,26.71,27.97
2008,울산광역시,전체,25.67,27.36
2008,경기도,전체,25.84,26.88
2008,강원도,전체,25.77,25.88
2008,충청북도,전체,28.01,28.44
2008,충청남도,전체,27.46,27.56
2008,전라북도,전체,27.93,27.95
2008,전라남도,전체,29.37,28.81
2008,경상북도,전체,26.76,26.74
2008,경상남도,전체,26.39,26.95
2008,제주특별자치도,전체,29.42,29.76
2009,서울특별시,전체,25.25,26.23
2009,부산광역시,전체,26.64,27.44
2009,대구광역시,전체,25.55,26.54
2009,인천광역시,전체,26.73,27.93
2009,광주광역시,전체,28.79,29.69
2009,대전광역시,전체,27.18,28.13
2009,울산광역시,전체,26.81,28.22
2009,경기도,전체,26.72,27.61
2009,강원도,전체,27.11,27.06
2009,충청북도,전체,28.72,28.99
2009,충청남도,전체,28.11,28.11
2009,전라북도,전체,28.74,28.66
2009,전라남도,전체,30.12,29.47
2009,경상북도,전체,27.24,27.16
2009,경상남도,전체,27.36,27.77
2009,제주특별자치도,전체,30.18,30.21
2010,서울특별시,전체,26.32,27.23
2010,부산광역시,전체,27.24,27.92
2010,대구광역시,전체,26.54,27.41
2010,인천광역시,전체,27.42,28.51
2010,광주광역시,전체,30.47,31.18
2010,대전광역시,전체,27.91,28.77
2010,울산광역시,전체,27.76,29.08
2010,경기도,전체,27.81,28.56
2010,강원도,전체,27.6,27.48
2010,충청북도,전체,29.82,30.02
2010,충청남도,전체,28.54,28.46
2010,전라북도,전체,29.44,29.24
2010,전라남도,전체,30.81,30.1
2010,경상북도,전체,27.83,27.68
2010,경상남도,전체,27.84,28.19
2010,제주특별자치도,전체,30.04,30.02
2011,서울특별시,전체,25.82,26.59
2011,부산광역시,전체,26.58,27.08
2011,대구광역시,전체,26.55,27.27
2011,인천광역시,전체,27.21,28.18
2011,광주광역시,전체,29,29.7
2011,대전광역시,전체,27.69,28.43
2011,울산광역시,전체,27.01,28.12
2011,경기도,전체,27.11,27.74
2011,강원도,전체,27,26.76
2011,충청북도,전체,29.51,29.59
2011,충청남도,전체,28.57,28.36
2011,전라북도,전체,28.66,28.34
2011,전라남도,전체,29.58,28.72
2011,경상북도,전체,27.22,27
2011,경상남도,전체,27,27.24
2011,제주특별자치도,전체,28.16,28.15
2012,서울특별시,전체,26.28,26.93
2012,부산광역시,전체,27.9,28.19
2012,대구광역시,전체,27.22,27.81
2012,인천광역시,전체,27.69,28.49
2012,광주광역시,전체,29.64,30.24
2012,대전광역시,전체,27.45,28.07
2012,울산광역시,전체,28.39,29.39
2012,경기도,전체,27.33,27.91
2012,강원도,전체,27.7,27.3
2012,충청북도,전체,29.72,29.66
2012,충청남도,전체,29.06,28.67
2012,전라북도,전체,29.29,28.78
2012,전라남도,전체,30.87,29.74
2012,경상북도,전체,27.89,27.47
2012,경상남도,전체,28.26,28.37
2012,제주특별자치도,전체,28.72,28.51
2013,서울특별시,전체,26.5,26.94
2013,부산광역시,전체,27.54,27.54
2013,대구광역시,전체,26.53,26.86
2013,인천광역시,전체,27.99,28.52
2013,광주광역시,전체,30.63,31.02
2013,대전광역시,전체,28.18,28.58
2013,울산광역시,전체,28.05,28.85
2013,세종특별자치시,전체,31.62,31.06
2013,경기도,전체,27.42,27.79
2013,강원도,전체,27.6,27.02
2013,충청북도,전체,29.61,29.37
2013,충청남도,전체,29.4,28.84
2013,전라북도,전체,29.6,28.89
2013,전라남도,전체,31.19,29.82
2013,경상북도,전체,26.99,26.39
2013,경상남도,전체,27.58,27.5
2013,제주특별자치도,전체,28.15,27.88
2014,서울특별시,전체,27.51,27.81
2014,부산광역시,전체,28.77,28.6
2014,대구광역시,전체,27.58,27.71
2014,인천광역시,전체,29.55,29.92
2014,광주광역시,전체,31.65,31.84
2014,대전광역시,전체,29.23,29.5
2014,울산광역시,전체,29.07,29.65
2014,세종특별자치시,전체,31.86,31.36
2014,경기도,전체,28.5,28.77
2014,강원도,전체,28.56,27.83
2014,충청북도,전체,30.83,30.52
2014,충청남도,전체,30.06,29.42
